"","zcta","boro","pop_prc_ch","pov_pct_ch","hh_inc_med_ch","rent_gross_med_ch","norm_rental_ch","total_bach_degree_prc_ch","pop_race_asian_prc_ch","pop_race_black_prc_ch","pop_race_hisp_prc_ch","pop_race_white_prc_ch","avg_eviction_1000"
"1","10001","Manhattan","0.140643921994404","0.1599007962407","0.106581711080602","0.073744769874477","0.0105577980779484","0.0950409806711808","0.166484969512994","0.366975360227793","-0.1104005157301","-0.0945904626926264","4.69"
"2","10002","Manhattan","-0.0307731793391081","-0.0321361058601134","0.0898191768456092","0.142094017094017","0.0161846630462512","0.122720464108934","-0.0597251032053201","0.0249650268874781","0.100786415013318","-0.0146185219857452","1.31"
"3","10003","Manhattan","-0.0286908331062051","-0.0692773072269277","0.121350810505453","0.165833711949114","-0.0609055020698669","0.0365621316596499","-0.0312168534607739","0.0368653984462939","0.0595656004212516","0.00910216268250086","0.89"
"4","10004","Manhattan","0.0702341137123746","0.0702341137123746","0.0937629049483802","0.343719252213841","0.0211136424116153","0.201453507120954","0.464953100810491","-22.4467625899281","-0.0803843411757081","-0.124687497610838","2.45"
"5","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","1.8"
"6","10006","Manhattan","0.246716960044705","0.249790444258173","0.206356713481798","0.33543673198273","0.0393494644027111","0.174072727510227","-0.163085963764153","-1.10191023738872","0.528260884259478","-0.0185548523342664","2.24"
"7","10007","Manhattan","0.120523024445708","0.135862516212711","0.134019386426205","0.385064535955747","-0.172988232308815","0.0289223848047377","-0.0501243751628721","-0.315042409197643","0.00826912234542377","-0.0140774560645603","0.99"
"8","10009","Manhattan","-0.0375118471591759","-0.0341147480936366","0.0245699839725054","0.0961910910264687","0.011546221063194","0.0663677055258111","-0.202998311216886","0.148877729392929","0.0161827481959915","0.00946074774581428","1.62"
"9","10010","Manhattan","0.11241281439657","0.102443639685491","0.169684752007229","0.203740549144449","0.00417969145834471","-0.0492858281906853","0.0951775540290631","0.139487883615854","0.222043319268382","-0.0842090512705143","0.96"
"10","10011","Manhattan","-0.0225197688864349","-0.0142083760993379","0.17606811246023","0.156235294117647","-0.0774236602833457","0.00333304776820286","0.116870227955133","0.179761895134073","-0.0703984210410419","-0.00514447158787322","1.2"
"11","10012","Manhattan","-0.00717576548293717","-0.00950301785026326","0.255429844779602","0.205174761688606","0.00921972742929772","-0.0118261090584361","0.0661566284247693","0.234511458430565","0.25086967920977","-0.0505476744515809","1.59"
"12","10013","Manhattan","0.119146493804652","0.149803977987987","0.351380402806065","0.234674922600619","0.0289627992448306","0.216786048633559","-0.117501667366935","0.102074566329631","0.0780711531548223","0.0302554808402559","1.42"
"13","10014","Manhattan","0.028338680254136","0.0317101153674549","0.178389191470076","0.159596808063839","-0.0856446066193405","0.0974332341414071","-0.0869900145619975","-0.32285378406822","0.0437922281153473","0.00603208964706403","1.23"
"14","10016","Manhattan","-0.0228580314103561","-0.02663680358357","0.0665537757437071","0.201516360734238","-0.0380508074025919","0.0513567333746427","0.321285704304005","-0.124454903209532","0.117337720331749","-0.14733953056342","1.28"
"15","10017","Manhattan","0.0153160849402001","0.0168415914083476","0.0862588525268214","0.107493309545049","-0.163786398772107","0.0453214224193387","0.0276874288587708","-0.30571269221576","0.0906011872643624","-0.00566342127489141","1.77"
