@relation eviction_acs_final
@attribute zcta numeric
@attribute boro numeric
@attribute pop_prc_ch numeric
@attribute pov_pct_ch numeric
@attribute hh_inc_med_ch numeric
@attribute rent_gross_med_ch numeric
@attribute total_units_rent_ch numeric
@attribute total_bach_degree_prc_ch numeric
@attribute pop_race_asian_prc_ch numeric
@attribute pop_race_black_prc_ch numeric
@attribute pop_race_hisp_prc_ch numeric
@attribute pop_race_white_prc_ch numeric
@attribute avg_eviction_1000 numeric
@data
10001,Manhattan,0.140643921994404,0.1599007962407,0.106581711080602,0.073744769874477,0.108028867839423,0.0950409806711808,0.166484969512994,0.366975360227793,-0.1104005157301,-0.0945904626926264,4.69
10002,Manhattan,-0.0307731793391081,-0.0321361058601134,0.0898191768456092,0.142094017094017,0.0344029567199751,0.122720464108934,-0.0597251032053201,0.0249650268874781,0.100786415013318,-0.0146185219857452,1.31
10003,Manhattan,-0.0286908331062051,-0.0692773072269277,0.121350810505453,0.165833711949114,-0.0688581122420602,0.0365621316596499,-0.0312168534607739,0.0368653984462939,0.0595656004212516,0.00910216268250086,0.89
10004,Manhattan,0.0702341137123746,0.0702341137123746,0.0937629049483802,0.343719252213841,0.0718778077268643,0.201453507120954,0.464953100810491,-22.4467625899281,-0.0803843411757081,-0.124687497610838,2.45
10005,Manhattan,0.340552995391705,0.341129032258065,0.217128257669587,0.362941738299905,0.193874602715978,-0.0253952038940563,-0.368452121422072,0.857479127588363,0.243227689398611,0.0131027253668763,1.8
10006,Manhattan,0.246716960044705,0.249790444258173,0.206356713481798,0.33543673198273,0.0659480025364616,0.174072727510227,-0.163085963764153,-1.10191023738872,0.528260884259478,-0.0185548523342664,2.24
10007,Manhattan,0.120523024445708,0.135862516212711,0.134019386426205,0.385064535955747,-0.039426523297491,0.0289223848047377,-0.0501243751628721,-0.315042409197643,0.00826912234542377,-0.0140774560645603,0.99
10009,Manhattan,-0.0375118471591759,-0.0341147480936366,0.0245699839725054,0.0961910910264687,0.00626493807488955,0.0663677055258111,-0.202998311216886,0.148877729392929,0.0161827481959915,0.00946074774581428,1.62
10010,Manhattan,0.11241281439657,0.102443639685491,0.169684752007229,0.203740549144449,-0.0329815303430079,-0.0492858281906853,0.0951775540290631,0.139487883615854,0.222043319268382,-0.0842090512705143,0.96
10011,Manhattan,-0.0225197688864349,-0.0142083760993379,0.17606811246023,0.156235294117647,-0.0745327999123144,0.00333304776820286,0.116870227955133,0.179761895134073,-0.0703984210410419,-0.00514447158787322,1.2
10012,Manhattan,-0.00717576548293717,-0.00950301785026326,0.255429844779602,0.205174761688606,-0.032912889239259,-0.0118261090584361,0.0661566284247693,0.234511458430565,0.25086967920977,-0.0505476744515809,1.59
10013,Manhattan,0.119146493804652,0.149803977987987,0.351380402806065,0.234674922600619,0.0983421675876847,0.216786048633559,-0.117501667366935,0.102074566329631,0.0780711531548223,0.0302554808402559,1.42
10014,Manhattan,0.028338680254136,0.0317101153674549,0.178389191470076,0.159596808063839,-0.0620414673046252,0.0974332341414071,-0.0869900145619975,-0.32285378406822,0.0437922281153473,0.00603208964706403,1.23
10016,Manhattan,-0.0228580314103561,-0.02663680358357,0.0665537757437071,0.201516360734238,0.00561525801142415,0.0513567333746427,0.321285704304005,-0.124454903209532,0.117337720331749,-0.14733953056342,1.28
10017,Manhattan,0.0153160849402001,0.0168415914083476,0.0862588525268214,0.107493309545049,-0.176595368569913,0.0453214224193387,0.0276874288587708,-0.30571269221576,0.0906011872643624,-0.00566342127489141,1.77
10018,Manhattan,0.367527523407758,0.372524752475248,0.185868849723255,0.334773936170213,0.407544701264719,0.10365061740108,0.118095822241513,0.038522416999723,-0.424066404539234,0.0447171137498486,5.83
10019,Manhattan,0.0298374687439892,0.0295253729901984,0.187194007853588,0.167036872501111,0.0184485105096023,0.0358625133214488,0.218877336838201,0.129738291458891,-0.0747742316584842,-0.08751504874996,2.59
10021,Manhattan,0.0519529600071138,0.0535738383338581,0.142165016714846,0.124288425047438,-0.0124379897907829,0.0322486854918413,0.344409431339752,-1.17050065423939,0.251848874353327,-0.0789977814939064,0.89
10022,Manhattan,0.0483656311877171,0.0392143918138307,0.197585730586752,0.187576126674787,-0.0737527114967462,0.030472066384711,0.102006631557493,-0.728861703462541,-0.0114588684449934,-0.0139209049692827,1.83
10023,Manhattan,0.0173456448938453,0.0194562234971315,0.150382005792612,0.174837310195228,-0.0562887996243936,-0.027655210021196,0.15177889060383,0.0317487469163792,0.102258707547051,-0.0438803222596036,0.79
10024,Manhattan,-0.00818635493573968,-0.00894046033859616,0.127003259137082,0.0774543660582141,-0.10156475547087,0.0366778389350431,0.220455700398743,-0.30124901846304,-0.0611215887537509,0.0115192433540475,0.71
